stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note,updated_at
HSS TAP 9 X 1.25 SPPT TOTEM,747.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,747.0,1.0,Metric Coarse,9.0 X 1.25,SPPT,,review,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 9/16"" BSB BOT TOTEM",1731.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,6,1731.0,1.0,BSB,9/16,Standard,,review,"invoice rate 1,905.00 != list 1,731.00",2026-08-10T11:02:26.42234+00:00
"HSS TAP 9/16"" BSB TOTEM",1731.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,6,1731.0,1.0,BSB,9/16,Standard,,review,,2026-08-10T16:28:57.046883+00:00
"HSS TAP 9/16"" BSF SET TOTEM",4143.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1381.0,3.0,BSW/BSF,9/16,Standard,,review,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 9/16"" BSW SET TOTEM",4143.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1381.0,3.0,BSW/BSF,9/16,Standard,,review,"invoice rate 4,560.00 != list 4,143.00",2026-08-10T11:02:26.42234+00:00
"HSS TAP 9/16"" UNC BOT TOTEM",1381.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1381.0,1.0,UNF/UNC,9/16,Standard,,review,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 9/16"" UNC SET TOTEM",4143.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1381.0,3.0,UNF/UNC,9/16,Standard,,review,,2026-08-10T16:28:57.046883+00:00
"HSS TAP 9/16"" UNF BOT TOTEM",1381.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1381.0,1.0,UNF/UNC,9/16,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 9/16"" UNF SEC TOTEM",1381.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1381.0,1.0,UNF/UNC,9/16,Standard,,review,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 9/16"" UNF SET TOTEM",4143.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1381.0,3.0,UNF/UNC,9/16,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
